year,region_original,region,season,measure,unit,value,source_type,source_file,source_sheet,source_table,source_excel_row
2019,Al Qassim,Al-Qassim,Rest of the year,Consumption,kWh,6354815303.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2019,Al Qassim,Al-Qassim,Rest of the year,Cost,SAR,1851621754.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2019,Al Qassim,Al-Qassim,Winter,Consumption,kWh,1937898085.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2019,Al Qassim,Al-Qassim,Winter,Cost,SAR,566546168.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2019,Asir,Asir,Rest of the year,Consumption,kWh,10629137186.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2019,Asir,Asir,Rest of the year,Cost,SAR,3494972760.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2019,Asir,Asir,Winter,Consumption,kWh,2996611212.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2019,Asir,Asir,Winter,Cost,SAR,675309400.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2019,Eastern Region,Eastern Region,Rest of the year,Consumption,kWh,28190346286.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2019,Eastern Region,Eastern Region,Rest of the year,Cost,SAR,10377046409.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2019,Eastern Region,Eastern Region,Winter,Consumption,kWh,4294128877.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
2019,Eastern Region,Eastern Region,Winter,Cost,SAR,952025741.0,Independent supplied household CSV,houses-consumption-and-cost-of-electricity-in-the-administrative-regions- (2).csv,,,
